time,temperature,setpoint,power
2024-08-27 15:35:10.375303,52.36,52.0,0.0
2024-08-27 15:35:28.248542,52.45,52.0,0.0
2024-08-27 15:35:46.121612,52.50,52.0,0.0
2024-08-27 15:36:03.994801,52.50,52.0,0.0
2024-08-27 15:36:21.867759,52.50,52.0,0.0
2024-08-27 15:36:39.740851,52.50,52.0,0.0
2024-08-27 15:36:57.613866,52.50,52.0,0.0
2024-08-27 15:37:15.487413,52.48,52.0,0.0
2024-08-27 15:37:33.360783,52.46,52.0,0.0
2024-08-27 15:37:51.233771,52.44,52.0,0.0
2024-08-27 15:38:09.107021,52.44,52.0,0.0
2024-08-27 15:38:26.979758,52.44,52.0,0.0
2024-08-27 15:38:44.852745,52.44,52.0,0.0
2024-08-27 15:39:02.725814,52.44,52.0,0.0
2024-08-27 15:39:20.598834,52.41,52.0,0.0
2024-08-27 15:39:38.471800,52.39,52.0,0.0
2024-08-27 15:39:56.344762,52.37,52.0,0.0
2024-08-27 15:40:14.217263,52.37,52.0,0.0
2024-08-27 15:40:32.090035,52.37,52.0,0.0
2024-08-27 15:40:49.962903,52.37,52.0,0.0
2024-08-27 15:41:07.835721,52.37,52.0,0.0
2024-08-27 15:41:25.708532,52.36,52.0,0.0
2024-08-27 15:41:43.580908,52.32,52.0,0.0
2024-08-27 15:42:01.453671,52.31,52.0,0.0
2024-08-27 15:42:19.326064,52.31,52.0,0.0
2024-08-27 15:42:37.198729,52.31,52.0,0.0
2024-08-27 15:42:55.071155,52.31,52.0,0.0
2024-08-27 15:43:12.943833,52.31,52.0,0.0
2024-08-27 15:43:30.816355,52.30,52.0,0.0
2024-08-27 15:43:48.689085,52.26,52.0,0.0
2024-08-27 15:44:06.561762,52.25,52.0,0.0
2024-08-27 15:44:24.433963,52.25,52.0,0.0
2024-08-27 15:44:42.306532,52.25,52.0,0.0
2024-08-27 15:45:00.178987,52.25,52.0,0.0
2024-08-27 15:45:18.051620,52.25,52.0,0.0
2024-08-27 15:45:35.924016,52.22,52.0,0.0
2024-08-27 15:45:53.796696,52.19,52.0,0.0
2024-08-27 15:46:11.669161,52.19,52.0,0.0
2024-08-27 15:46:29.541626,52.19,52.0,0.0
2024-08-27 15:46:47.414120,52.19,52.0,0.0
2024-08-27 15:47:05.286596,52.19,52.0,0.0
2024-08-27 15:47:23.158958,52.19,52.0,0.0
2024-08-27 15:47:41.031059,52.17,52.0,0.0
2024-08-27 15:47:58.903590,52.14,52.0,0.0
2024-08-27 15:48:16.775919,52.13,52.0,0.0
2024-08-27 15:48:34.648626,52.13,52.0,0.0
2024-08-27 15:48:52.520777,52.13,52.0,0.0
2024-08-27 15:49:10.393453,52.13,52.0,0.0
2024-08-27 15:49:28.265520,52.12,52.0,0.0
2024-08-27 15:49:46.137968,52.11,52.0,0.0
2024-08-27 15:50:04.010076,52.06,52.0,0.0
2024-08-27 15:50:21.881901,52.06,52.0,0.0
2024-08-27 15:50:39.753950,52.06,52.0,0.0
2024-08-27 15:50:57.626168,52.06,52.0,0.0
2024-08-27 15:51:15.498218,52.06,52.0,0.0
2024-08-27 15:51:33.370505,52.06,52.0,0.0
2024-08-27 15:51:51.242612,52.05,52.0,0.0
2024-08-27 15:52:09.114242,52.01,52.0,0.0
2024-08-27 15:52:26.986452,52.00,52.0,0.0
2024-08-27 15:52:44.858491,52.00,52.0,0.0
2024-08-27 15:53:02.731019,52.00,52.0,0.0
2024-08-27 15:53:20.602992,52.00,52.0,0.0
2024-08-27 15:53:38.475486,52.00,52.0,0.0
2024-08-27 15:53:56.347665,51.98,52.0,2.4
2024-08-27 15:54:14.219703,51.96,52.0,4.8
2024-08-27 15:54:32.091710,51.94,52.0,7.1
2024-08-27 15:54:49.963729,51.94,52.0,8.3
2024-08-27 15:55:07.835718,51.94,52.0,8.3
2024-08-27 15:55:25.707780,51.94,52.0,9.5
2024-08-27 15:55:43.579322,51.94,52.0,9.5
2024-08-27 15:56:01.451537,51.94,52.0,10.7
2024-08-27 15:56:19.323319,51.94,52.0,10.7
2024-08-27 15:56:37.195177,51.94,52.0,11.9
2024-08-27 15:56:55.066933,51.94,52.0,11.9
2024-08-27 15:57:12.938609,51.94,52.0,13.1
2024-08-27 15:57:30.810454,51.94,52.0,13.1
2024-08-27 15:57:48.681844,51.94,52.0,13.1
2024-08-27 15:58:06.553550,51.94,52.0,14.3
2024-08-27 15:58:24.425444,51.94,52.0,14.3
2024-08-27 15:58:42.297220,51.94,52.0,14.3
2024-08-27 15:59:00.168997,51.94,52.0,14.3
2024-08-27 15:59:18.041204,51.96,52.0,13.1
2024-08-27 15:59:35.912829,51.98,52.0,11.9
2024-08-27 15:59:53.784856,51.96,52.0,13.1
2024-08-27 16:00:11.656597,51.99,52.0,10.7
2024-08-27 16:00:29.528555,51.98,52.0,11.9
2024-08-27 16:00:47.400292,52.00,52.0,9.5
2024-08-27 16:01:05.272187,51.98,52.0,11.9
2024-08-27 16:01:23.143948,52.00,52.0,9.5
2024-08-27 16:01:41.016830,52.00,52.0,9.5
2024-08-27 16:01:58.890546,52.00,52.0,9.5
2024-08-27 16:02:16.764295,51.99,52.0,10.7
2024-08-27 16:02:34.637589,52.00,52.0,9.5
2024-08-27 16:02:52.511362,51.99,52.0,10.7
2024-08-27 16:03:10.384774,52.00,52.0,9.5
2024-08-27 16:03:28.258195,51.99,52.0,10.7
2024-08-27 16:03:46.131628,52.00,52.0,9.5
2024-08-27 16:04:04.005142,52.00,52.0,9.5
2024-08-27 16:04:21.878114,52.00,52.0,9.5
2024-08-27 16:04:39.751741,52.00,52.0,9.5
2024-08-27 16:04:57.624643,51.99,52.0,10.7
2024-08-27 16:05:15.497671,51.98,51.8,11.9
2024-08-27 16:05:33.370636,51.98,51.8,0.0
2024-08-27 16:05:51.243705,51.99,51.8,0.0
2024-08-27 16:06:09.116793,51.99,51.8,0.0
2024-08-27 16:06:26.989778,51.96,51.8,0.0
2024-08-27 16:06:44.862804,51.94,51.8,0.0
2024-08-27 16:07:02.735674,51.94,51.8,0.0
2024-08-27 16:07:20.608272,51.94,51.8,0.0
2024-08-27 16:07:38.481007,51.94,51.8,0.0
2024-08-27 16:07:56.353699,51.94,51.8,0.0
2024-08-27 16:08:14.226624,51.93,51.8,0.0
2024-08-27 16:08:32.099313,51.89,51.8,0.0
2024-08-27 16:08:49.971975,51.88,51.8,0.0
2024-08-27 16:09:07.844278,51.88,51.8,0.0
2024-08-27 16:09:25.716912,51.88,51.8,0.0
2024-08-27 16:09:43.589439,51.88,51.8,0.0
2024-08-27 16:10:01.461802,51.88,51.8,0.0
2024-08-27 16:10:19.334347,51.85,51.8,0.0
2024-08-27 16:10:37.206823,51.83,51.8,0.0
2024-08-27 16:10:55.079232,51.81,51.8,0.0
2024-08-27 16:11:12.951743,51.81,51.8,0.0
2024-08-27 16:11:30.824159,51.81,51.8,0.0
2024-08-27 16:11:48.696730,51.81,51.8,0.0
2024-08-27 16:12:06.568818,51.81,51.8,0.0
2024-08-27 16:12:24.441232,51.81,51.8,0.0
2024-08-27 16:12:42.313519,51.78,51.8,2.4
2024-08-27 16:13:00.186147,51.75,51.8,6.0
2024-08-27 16:13:18.058678,51.75,51.8,6.0
2024-08-27 16:13:35.931013,51.75,51.8,7.1
2024-08-27 16:13:53.803310,51.75,51.8,7.1
2024-08-27 16:14:11.675746,51.75,51.8,7.1
2024-08-27 16:14:29.548030,51.75,51.8,8.3
2024-08-27 16:14:47.420580,51.75,51.8,8.3
2024-08-27 16:15:05.292792,51.75,51.8,8.3
2024-08-27 16:15:23.165319,51.75,51.8,9.5
2024-08-27 16:15:41.037228,51.74,51.8,10.7
2024-08-27 16:15:58.909578,51.75,51.8,10.7
2024-08-27 16:16:16.781658,51.75,51.8,10.7
2024-08-27 16:16:34.653855,51.74,51.8,11.9
2024-08-27 16:16:52.525956,51.75,51.8,11.9
2024-08-27 16:17:10.398023,51.75,51.8,11.9
2024-08-27 16:17:28.269913,51.75,51.8,11.9
2024-08-27 16:17:46.141854,51.75,51.8,13.1
2024-08-27 16:18:04.013647,33.87,51.8,25.0
2024-08-27 16:18:21.885502,51.75,51.8,9.5
2024-08-27 16:18:39.757326,51.75,51.8,25.0
2024-08-27 16:18:57.628701,51.75,51.8,25.0
