time,temperature,setpoint
2024-06-29 23:18:59.729388,24.75,24.0
2024-06-29 23:19:04.581438,23.00,24.0
2024-06-29 23:19:09.588845,24.75,24.0
2024-06-29 23:19:14.596403,22.00,24.0
2024-06-29 23:19:19.603885,23.25,24.0
2024-06-29 23:19:24.611531,23.50,24.0
2024-06-29 23:19:29.618759,24.25,24.0
2024-06-29 23:19:34.626594,23.00,24.0
2024-06-29 23:19:39.634223,23.75,24.0
2024-06-29 23:19:44.641760,24.25,24.0
2024-06-29 23:19:49.649241,23.25,24.0
2024-06-29 23:19:54.656960,24.75,24.0
2024-06-29 23:19:59.664453,22.25,24.0
2024-06-29 23:20:04.671723,24.00,24.5
2024-06-29 23:20:09.679640,23.75,24.5
2024-06-29 23:20:14.687212,24.00,24.5
2024-06-29 23:20:19.694519,23.00,24.5
2024-06-29 23:20:24.701923,23.75,24.5
2024-06-29 23:20:29.709630,24.75,24.5
2024-06-29 23:20:34.717101,23.75,24.5
2024-06-29 23:20:39.724860,24.50,24.5
2024-06-29 23:20:44.732122,24.00,24.5
2024-06-29 23:20:49.739685,25.00,24.5
2024-06-29 23:20:54.747363,24.50,24.5
2024-06-29 23:20:59.754938,23.50,24.5
2024-06-29 23:21:04.762594,25.25,25.0
2024-06-29 23:21:09.770204,23.00,25.0
2024-06-29 23:21:14.777741,23.75,25.0
2024-06-29 23:21:19.784903,24.50,25.0
2024-06-29 23:21:24.792432,24.50,25.0
2024-06-29 23:21:29.800000,23.50,25.0
2024-06-29 23:21:34.807522,24.50,25.0
2024-06-29 23:21:39.815231,23.00,25.0
2024-06-29 23:21:44.822716,24.50,25.0
2024-06-29 23:21:49.830366,23.50,25.0
2024-06-29 23:21:54.837595,24.50,25.0
2024-06-29 23:21:59.845485,24.00,25.0
2024-06-29 23:22:04.852785,23.75,25.5
2024-06-29 23:22:09.860460,24.25,25.5
2024-06-29 23:22:14.867839,24.50,25.5
2024-06-29 23:22:19.875541,24.25,25.5
2024-06-29 23:22:24.883260,24.75,25.5
2024-06-29 23:22:29.890757,22.50,25.5
2024-06-29 23:22:34.898112,24.75,25.5
2024-06-29 23:22:39.905474,25.25,25.5
2024-06-29 23:22:44.913151,24.50,25.5
2024-06-29 23:22:49.920635,25.00,25.5
2024-06-29 23:22:54.927996,25.00,25.5
2024-06-29 23:22:59.935746,24.50,25.5
2024-06-29 23:23:04.943398,23.50,26.0
2024-06-29 23:23:09.950925,25.25,26.0
2024-06-29 23:23:14.958511,25.00,26.0
2024-06-29 23:23:19.965676,24.25,26.0
2024-06-29 23:23:24.973122,24.50,26.0
2024-06-29 23:23:29.980678,24.50,26.0
2024-06-29 23:23:34.988087,25.50,26.0
2024-06-29 23:23:39.995847,25.25,26.0
2024-06-29 23:23:45.003321,24.00,26.0
2024-06-29 23:23:50.010692,24.75,26.0
2024-06-29 23:23:55.018458,24.00,26.0
2024-06-29 23:24:00.026011,25.75,26.0
2024-06-29 23:24:05.033186,24.50,26.5
2024-06-29 23:24:10.040928,25.25,26.5
2024-06-29 23:24:15.048262,25.25,26.5
2024-06-29 23:24:20.055734,24.75,26.5
2024-06-29 23:24:25.063341,25.00,26.5
2024-06-29 23:24:30.070675,26.00,26.5
2024-06-29 23:24:35.078170,25.00,26.5
2024-06-29 23:24:40.085831,25.75,26.5
2024-06-29 23:24:45.093512,25.00,26.5
2024-06-29 23:24:50.101046,26.50,26.5
2024-06-29 23:24:55.108256,25.00,26.5
2024-06-29 23:25:00.115851,26.50,26.5
2024-06-29 23:25:05.123445,25.00,27.0
2024-06-29 23:25:10.130799,26.00,27.0
2024-06-29 23:25:15.138588,25.75,27.0
2024-06-29 23:25:20.146133,26.25,27.0
2024-06-29 23:25:25.153477,26.50,27.0
2024-06-29 23:25:30.161000,26.50,27.0
2024-06-29 23:25:35.168453,25.00,27.0
2024-06-29 23:25:40.176099,27.25,27.0
2024-06-29 23:25:45.183572,25.75,27.0
2024-06-29 23:25:50.191454,26.75,27.0
2024-06-29 23:25:55.198847,26.25,27.0
2024-06-29 23:26:00.206258,26.25,27.0
2024-06-29 23:26:05.213489,25.50,27.5
2024-06-29 23:26:10.221352,27.50,27.5
2024-06-29 23:26:15.228584,26.75,27.5
2024-06-29 23:26:20.236163,25.50,27.5
2024-06-29 23:26:25.243804,26.75,27.5
2024-06-29 23:26:30.251351,26.75,27.5
2024-06-29 23:26:35.258760,26.00,27.5
2024-06-29 23:26:40.266401,26.75,27.5
2024-06-29 23:26:45.273831,27.00,27.5
2024-06-29 23:26:50.281440,25.75,27.5
2024-06-29 23:26:55.289309,27.00,27.5
2024-06-29 23:27:00.296355,26.25,27.5
2024-06-29 23:27:05.303768,27.00,28.0
2024-06-29 23:27:10.311349,25.75,28.0
2024-06-29 23:27:15.318853,27.50,28.0
2024-06-29 23:27:20.326636,27.00,28.0
2024-06-29 23:27:25.334302,26.00,28.0
2024-06-29 23:27:30.341567,27.25,28.0
2024-06-29 23:27:35.349245,27.50,28.0
2024-06-29 23:27:40.356620,26.00,28.0
2024-06-29 23:27:45.364120,27.25,28.0
2024-06-29 23:27:50.371492,26.75,28.0
