time,temperature,setpoint,power
2024-08-21 15:23:56.600627,43.11,44.0,79.8
2024-08-21 15:24:14.461521,43.26,44.0,79.8
2024-08-21 15:24:32.322587,43.42,44.0,79.8
2024-08-21 15:24:50.183742,43.58,44.0,79.8
2024-08-21 15:25:08.045089,43.75,44.0,79.8
2024-08-21 15:25:25.906431,43.92,44.0,79.8
2024-08-21 15:25:43.767942,44.07,44.0,70.2
2024-08-21 15:26:01.629907,44.26,44.0,44.0
2024-08-21 15:26:19.493242,44.39,44.0,23.8
2024-08-21 15:26:37.357054,44.48,44.0,7.1
2024-08-21 15:26:55.221285,44.50,44.0,0.0
2024-08-21 15:27:13.085447,44.50,44.0,0.0
2024-08-21 15:27:30.949611,44.50,44.0,0.0
2024-08-21 15:27:48.813813,44.50,44.0,0.0
2024-08-21 15:28:06.678212,44.47,44.0,0.0
2024-08-21 15:28:24.542404,44.44,44.0,0.0
2024-08-21 15:28:42.406752,44.44,44.0,0.0
2024-08-21 15:29:00.270925,44.44,44.0,0.0
2024-08-21 15:29:18.135460,44.43,44.0,0.0
2024-08-21 15:29:35.999634,44.38,44.0,0.0
2024-08-21 15:29:53.863443,44.38,44.0,0.0
2024-08-21 15:30:11.727563,44.38,44.0,0.0
2024-08-21 15:30:29.591823,44.37,44.0,0.0
2024-08-21 15:30:47.455677,44.34,44.0,0.0
2024-08-21 15:31:05.319889,44.31,44.0,0.0
2024-08-21 15:31:23.183891,44.31,44.0,0.0
2024-08-21 15:31:41.048052,44.31,44.0,0.0
2024-08-21 15:31:58.912622,44.29,44.0,0.0
2024-08-21 15:32:16.776848,44.26,44.0,0.0
2024-08-21 15:32:34.640788,44.25,44.0,0.0
2024-08-21 15:32:52.504807,44.25,44.0,0.0
2024-08-21 15:33:10.368823,44.23,44.0,0.0
2024-08-21 15:33:28.232952,44.21,44.0,0.0
2024-08-21 15:33:46.096930,44.19,44.0,0.0
2024-08-21 15:34:03.961020,44.19,44.0,0.0
2024-08-21 15:34:21.825456,44.19,44.0,0.0
2024-08-21 15:34:39.688975,44.16,44.0,0.0
2024-08-21 15:34:57.553026,44.13,44.0,0.0
2024-08-21 15:35:15.417156,44.12,44.0,0.0
2024-08-21 15:35:33.281259,44.12,44.0,0.0
2024-08-21 15:35:51.144960,44.11,44.0,0.0
2024-08-21 15:36:09.008993,44.07,44.0,0.0
2024-08-21 15:36:26.872732,44.06,44.0,0.0
2024-08-21 15:36:44.736778,44.06,44.0,0.0
2024-08-21 15:37:02.600560,44.06,44.0,0.0
2024-08-21 15:37:20.464469,44.04,44.0,0.0
2024-08-21 15:37:38.328254,44.00,44.0,0.0
2024-08-21 15:37:56.191694,44.00,44.0,0.0
2024-08-21 15:38:14.055575,44.00,44.0,0.0
2024-08-21 15:38:31.919424,43.99,44.0,0.0
2024-08-21 15:38:49.783030,43.96,44.0,4.8
2024-08-21 15:39:07.646931,43.94,44.0,8.3
2024-08-21 15:39:25.510520,43.94,44.0,8.3
2024-08-21 15:39:43.374094,43.94,44.0,9.5
2024-08-21 15:40:01.237746,43.94,44.0,10.7
2024-08-21 15:40:19.101520,43.91,44.0,14.3
2024-08-21 15:40:36.965180,43.91,44.0,16.7
2024-08-21 15:40:54.828712,43.88,44.0,20.2
2024-08-21 15:41:12.692062,43.88,44.0,21.4
2024-08-21 15:41:30.555864,43.88,44.0,23.8
2024-08-21 15:41:48.419240,43.89,44.0,23.8
2024-08-21 15:42:06.282195,43.92,44.0,20.2
2024-08-21 15:42:24.145845,43.94,44.0,20.2
2024-08-21 15:42:42.009181,43.94,44.0,20.2
2024-08-21 15:42:59.872778,43.94,44.0,21.4
2024-08-21 15:43:17.736649,43.94,44.0,21.4
2024-08-21 15:43:35.599858,43.94,44.0,22.6
2024-08-21 15:43:53.463483,43.94,44.0,23.8
2024-08-21 15:44:11.326858,43.94,44.0,23.8
2024-08-21 15:44:29.190186,43.94,44.0,25.0
2024-08-21 15:44:47.053839,43.98,44.0,20.2
2024-08-21 15:45:04.917541,43.99,44.0,19.0
2024-08-21 15:45:22.780956,44.00,44.0,17.9
2024-08-21 15:45:40.644838,44.00,44.0,17.9
2024-08-21 15:45:58.508109,44.00,44.0,17.9
2024-08-21 15:46:16.371704,44.00,44.0,17.9
2024-08-21 15:46:34.235317,44.00,44.0,17.9
2024-08-21 15:46:52.099028,44.00,44.0,17.9
2024-08-21 15:47:09.962296,44.00,44.0,17.9
2024-08-21 15:47:27.825691,44.00,44.0,17.9
2024-08-21 15:47:45.689146,44.00,44.0,17.9
2024-08-21 15:48:03.552834,44.00,44.0,17.9
2024-08-21 15:48:21.416194,44.00,44.0,17.9
2024-08-21 15:48:39.279731,44.00,44.0,17.9
2024-08-21 15:48:57.143050,44.00,44.0,17.9
2024-08-21 15:49:15.006637,44.00,44.0,17.9
2024-08-21 15:49:32.870022,44.00,44.0,17.9
2024-08-21 15:49:50.733730,44.00,44.0,17.9
2024-08-21 15:50:08.597202,44.00,44.0,17.9
2024-08-21 15:50:26.460774,44.00,44.0,17.9
2024-08-21 15:50:44.324032,44.00,44.0,17.9
2024-08-21 15:51:02.187276,44.00,44.0,17.9
2024-08-21 15:51:20.051069,44.00,44.0,17.9
2024-08-21 15:51:37.914190,44.00,44.0,17.9
2024-08-21 15:51:55.777990,44.00,44.0,17.9
2024-08-21 15:52:13.641552,44.00,44.0,17.9
2024-08-21 15:52:31.504949,44.00,44.0,17.9
2024-08-21 15:52:49.368930,44.00,44.0,17.9
2024-08-21 15:53:07.852147,44.00,44.0,17.9
2024-08-21 15:53:25.716331,44.00,44.0,17.9
2024-08-21 15:53:43.579196,44.00,44.0,17.9
2024-08-21 15:54:01.442169,44.00,44.0,17.9
2024-08-21 15:54:19.305566,44.00,44.0,17.9
2024-08-21 15:54:37.168938,44.00,44.0,17.9
2024-08-21 15:54:55.033112,44.00,44.0,17.9
2024-08-21 15:55:12.896882,44.00,44.0,17.9
2024-08-21 15:55:30.760659,44.00,44.0,17.9
2024-08-21 15:55:48.624314,44.00,44.0,17.9
2024-08-21 15:56:06.487739,44.00,44.0,17.9
2024-08-21 15:56:24.351444,44.00,44.0,17.9
2024-08-21 15:56:42.215117,44.00,44.0,17.9
2024-08-21 15:57:00.078813,44.00,44.0,17.9
2024-08-21 15:57:17.942248,44.00,44.0,17.9
2024-08-21 15:57:35.805732,44.00,44.0,17.9
2024-08-21 15:57:53.669449,44.00,44.0,17.9
2024-08-21 15:58:11.533167,44.00,44.0,17.9
2024-08-21 15:58:29.396814,44.00,44.0,17.9
2024-08-21 15:58:47.260112,44.00,44.0,17.9
2024-08-21 15:59:05.123477,44.00,44.0,17.9
2024-08-21 15:59:22.987134,44.00,44.0,17.9
2024-08-21 15:59:40.850303,44.00,44.0,17.9
2024-08-21 15:59:58.713728,44.00,44.0,17.9
2024-08-21 16:00:16.577366,44.00,44.0,17.9
2024-08-21 16:00:34.440708,44.00,44.0,17.9
2024-08-21 16:00:52.304173,44.00,44.0,17.9
2024-08-21 16:01:10.167434,44.00,44.0,17.9
2024-08-21 16:01:28.030431,44.00,44.0,17.9
2024-08-21 16:01:45.893233,44.00,44.0,17.9
2024-08-21 16:02:03.756396,44.00,44.0,17.9
2024-08-21 16:02:21.619542,44.01,44.0,16.7
2024-08-21 16:02:39.483162,44.02,44.0,15.5
2024-08-21 16:02:57.346646,44.03,44.0,13.1
2024-08-21 16:03:15.210241,44.01,44.0,15.5
2024-08-21 16:03:33.074059,44.00,44.0,16.7
2024-08-21 16:03:50.937445,44.00,44.0,16.7
2024-08-21 16:04:08.800860,44.00,44.0,16.7
2024-08-21 16:04:26.664725,44.00,44.0,16.7
2024-08-21 16:04:44.527956,44.00,44.0,16.7
2024-08-21 16:05:02.391822,44.00,44.0,16.7
2024-08-21 16:05:20.255417,44.00,44.0,16.7
2024-08-21 16:05:38.119109,44.00,44.0,16.7
2024-08-21 16:05:55.982439,44.00,44.0,16.7
2024-08-21 16:06:13.846185,44.00,44.0,16.7
2024-08-21 16:06:31.709879,44.00,44.0,16.7
2024-08-21 16:06:49.573308,44.00,44.0,16.7
2024-08-21 16:07:07.437014,44.00,44.0,16.7
2024-08-21 16:07:25.300540,44.00,44.0,16.7
2024-08-21 16:07:43.164160,44.00,44.0,16.7
2024-08-21 16:08:01.027653,44.00,44.0,16.7
2024-08-21 16:08:18.891177,44.00,44.0,16.7
2024-08-21 16:08:36.755075,44.00,44.0,16.7
2024-08-21 16:08:54.618275,44.00,44.0,16.7
2024-08-21 16:09:12.482310,44.00,44.0,16.7
2024-08-21 16:09:30.346110,44.00,44.0,16.7
2024-08-21 16:09:48.209129,44.00,44.0,16.7
2024-08-21 16:10:06.072463,44.00,44.0,16.7
2024-08-21 16:10:23.935571,44.00,44.0,16.7
2024-08-21 16:10:41.798855,44.00,44.0,16.7
2024-08-21 16:10:59.662154,44.00,44.0,16.7
2024-08-21 16:11:17.524896,44.00,44.0,16.7
2024-08-21 16:11:35.387840,44.00,44.0,16.7
2024-08-21 16:11:53.251115,44.00,44.0,16.7
2024-08-21 16:12:11.114287,44.00,44.0,16.7
2024-08-21 16:12:28.977677,44.00,44.0,16.7
2024-08-21 16:12:46.840938,44.00,44.0,16.7
2024-08-21 16:13:04.704576,44.00,44.0,16.7
2024-08-21 16:13:22.568089,44.00,44.0,16.7
2024-08-21 16:13:40.431559,44.00,44.0,16.7
2024-08-21 16:13:58.294909,44.00,44.0,16.7
2024-08-21 16:14:16.158399,44.00,44.0,16.7
2024-08-21 16:14:34.022038,44.00,44.0,16.7
2024-08-21 16:14:51.885309,44.00,44.0,16.7
2024-08-21 16:15:09.748990,44.00,44.0,16.7
2024-08-21 16:15:27.612407,43.99,44.0,17.9
2024-08-21 16:15:45.476119,44.00,44.0,16.7
2024-08-21 16:16:03.339234,44.00,44.0,16.7
2024-08-21 16:16:21.202384,44.00,44.0,16.7
2024-08-21 16:16:39.065700,44.00,44.0,16.7
2024-08-21 16:16:56.929047,44.00,44.0,16.7
2024-08-21 16:17:14.792511,43.99,44.0,17.9
2024-08-21 16:17:32.656043,43.99,44.0,17.9
2024-08-21 16:17:50.519162,43.99,44.0,19.0
2024-08-21 16:18:08.382686,44.00,44.0,16.7
2024-08-21 16:18:26.246118,43.99,44.0,17.9
2024-08-21 16:18:44.109615,44.00,44.0,17.9
2024-08-21 16:19:01.972901,44.00,44.0,17.9
2024-08-21 16:19:19.836093,44.00,44.0,17.9
2024-08-21 16:19:37.699396,44.00,44.0,17.9
2024-08-21 16:19:55.563011,44.00,44.0,17.9
2024-08-21 16:20:13.426367,44.00,44.0,17.9
2024-08-21 16:20:31.289827,44.00,44.0,17.9
2024-08-21 16:20:49.153188,44.00,44.0,17.9
2024-08-21 16:21:07.016430,44.00,44.0,17.9
2024-08-21 16:21:24.879819,44.00,44.0,17.9
2024-08-21 16:21:42.743153,44.00,44.0,17.9
2024-08-21 16:22:00.606900,44.00,44.0,17.9
2024-08-21 16:22:18.470444,44.00,44.0,17.9
2024-08-21 16:22:36.333740,44.00,44.0,17.9
2024-08-21 16:22:54.197178,44.00,44.0,17.9
2024-08-21 16:23:12.060294,44.00,44.0,17.9
2024-08-21 16:23:29.923855,44.00,44.0,17.9
2024-08-21 16:23:47.787080,44.00,44.0,17.9
2024-08-21 16:24:05.650572,44.00,43.0,17.9
2024-08-21 16:24:23.513952,44.00,43.0,0.0
2024-08-21 16:24:41.377526,44.00,43.0,0.0
